Image,Latitude,Longitude
1.jpg,18.52265,73.84201
10.jpg,18.52265,73.84201
100.jpg,18.52,73.85
101.jpg,18.52,73.85
102.jpg,18.52,73.85
103.jpg,18.52,73.85
104.jpg,18.52,73.85
105.jpg,18.52,73.85
106.jpg,18.52,73.85
107.jpg,18.52,73.85
109.jpg,18.52,73.85
11.jpg,18.52265,73.84201
110.jpg,18.52,73.85
111.jpg,18.52,73.85
112.jpg,18.52,73.85
113.jpg,18.52675,73.85144
114.jpg,18.52675,73.85144
115.jpg,18.52671,73.8515
116.jpg,18.52665,73.85131
117.jpg,18.52665,73.85131
118.jpg,18.52665,73.85131
119.jpg,18.52665,73.85131
12.jpg,18.52265,73.84201
120.jpg,18.52673,73.85133
121.jpg,18.52674,73.85139
122.jpg,18.52674,73.85139
123.jpg,18.52675,73.85146
124.jpg,18.52676,73.85148
125.jpg,18.52676,73.85148
126.jpg,18.52676,73.85148
127.jpg,18.52672,73.8514
128.jpg,18.52674,73.85125
129.jpg,18.52674,73.85125
13.jpg,18.52265,73.84201
130.jpg,18.5258,73.84897
131.jpg,18.5258,73.84897
132.jpg,18.5258,73.84897
133.jpg,18.5258,73.84897
134.jpg,18.5258,73.84897
135.jpg,18.5258,73.84897
136.jpg,18.5258,73.84897
137.jpg,18.5258,73.84897
138.jpg,18.5258,73.84897
139.jpg,18.5258,73.84897
14.jpg,18.52265,73.84201
140.jpg,18.5258,73.84897
141.jpg,18.52578,73.84981
142.jpg,18.52578,73.84981
143.jpg,18.52578,73.84981
144.jpg,18.52578,73.84981
145.jpg,18.52578,73.84981
146.jpg,18.52578,73.84981
147.jpg,18.52578,73.84981
148.jpg,18.52578,73.84981
149.jpg,18.52578,73.84981
15.jpg,18.52265,73.84201
150.jpg,18.52578,73.84981
151.jpg,18.52578,73.84981
152.jpg,18.52578,73.84981
153.jpg,18.52578,73.84981
154.jpg,18.52578,73.84981
155.jpg,18.52578,73.84981
156.jpg,18.52578,73.84981
157.jpg,18.52578,73.84981
158.jpg,18.52578,73.84981
159.jpg,18.52578,73.84981
16.jpg,18.52265,73.84201
160.jpg,18.52578,73.84981
161.jpg,18.52578,73.84981
162.jpg,18.52578,73.84981
163.jpg,18.52578,73.84981
164.jpg,18.52578,73.84981
165.jpg,18.52578,73.84981
166.jpg,18.52578,73.84981
167.jpg,18.52578,73.84981
168.jpg,18.52578,73.84981
169.jpg,18.52578,73.84981
17.jpg,18.52265,73.84201
170.jpg,18.52578,73.84981
171.jpg,18.52578,73.84981
172.jpg,18.52578,73.84981
173.jpg,18.52578,73.84981
174.jpg,18.52578,73.84981
175.jpg,18.52578,73.84981
176.jpg,18.52578,73.84981
177.jpg,18.52578,73.84981
178.jpg,18.52578,73.84981
179.jpg,18.52578,73.84981
18.jpg,18.52265,73.84201
180.jpg,18.52578,73.84981
181.jpg,18.52578,73.84981
182.jpg,18.52578,73.84981
183.jpg,18.52578,73.84981
184.jpg,18.52578,73.84981
185.jpg,18.52578,73.84981
186.jpg,18.52578,73.84981
187.jpg,18.52578,73.84981
188.jpg,18.52578,73.84981
189.jpg,18.52,73.84
19.jpg,18.52265,73.84201
190.jpg,18.52,73.84
191.jpg,18.52,73.84
192.jpg,18.52,73.84
193.jpg,18.52,73.84
194.jpg,18.52,73.84
195.jpg,18.52,73.84
196.jpg,18.52,73.84
197.jpg,18.52,73.84
198.jpg,18.52,73.84
199.jpg,18.52,73.84
