Image,lon,lat
1.jpg,73.84201,18.52265
10.jpg,73.84201,18.52265
100.jpg,73.85,18.52
101.jpg,73.85,18.52
102.jpg,73.85,18.52
103.jpg,73.85,18.52
104.jpg,73.85,18.52
105.jpg,73.85,18.52
106.jpg,73.85,18.52
107.jpg,73.85,18.52
109.jpg,73.85,18.52
11.jpg,73.84201,18.52265
110.jpg,73.85,18.52
111.jpg,73.85,18.52
112.jpg,73.85,18.52
113.jpg,73.85144,18.52675
114.jpg,73.85144,18.52675
115.jpg,73.8515,18.52671
116.jpg,73.85131,18.52665
117.jpg,73.85131,18.52665
118.jpg,73.85131,18.52665
119.jpg,73.85131,18.52665
12.jpg,73.84201,18.52265
120.jpg,73.85133,18.52673
121.jpg,73.85139,18.52674
122.jpg,73.85139,18.52674
123.jpg,73.85146,18.52675
124.jpg,73.85148,18.52676
125.jpg,73.85148,18.52676
126.jpg,73.85148,18.52676
127.jpg,73.8514,18.52672
128.jpg,73.85125,18.52674
129.jpg,73.85125,18.52674
13.jpg,73.84201,18.52265
130.jpg,73.84897,18.5258
131.jpg,73.84897,18.5258
132.jpg,73.84897,18.5258
133.jpg,73.84897,18.5258
134.jpg,73.84897,18.5258
135.jpg,73.84897,18.5258
136.jpg,73.84897,18.5258
137.jpg,73.84897,18.5258
138.jpg,73.84897,18.5258
139.jpg,73.84897,18.5258
14.jpg,73.84201,18.52265
140.jpg,73.84897,18.5258
141.jpg,73.84981,18.52578
142.jpg,73.84981,18.52578
143.jpg,73.84981,18.52578
144.jpg,73.84981,18.52578
145.jpg,73.84981,18.52578
146.jpg,73.84981,18.52578
147.jpg,73.84981,18.52578
148.jpg,73.84981,18.52578
149.jpg,73.84981,18.52578
15.jpg,73.84201,18.52265
150.jpg,73.84981,18.52578
151.jpg,73.84981,18.52578
152.jpg,73.84981,18.52578
153.jpg,73.84981,18.52578
154.jpg,73.84981,18.52578
155.jpg,73.84981,18.52578
156.jpg,73.84981,18.52578
157.jpg,73.84981,18.52578
158.jpg,73.84981,18.52578
159.jpg,73.84981,18.52578
16.jpg,73.84201,18.52265
160.jpg,73.84981,18.52578
161.jpg,73.84981,18.52578
162.jpg,73.84981,18.52578
163.jpg,73.84981,18.52578
164.jpg,73.84981,18.52578
165.jpg,73.84981,18.52578
166.jpg,73.84981,18.52578
167.jpg,73.84981,18.52578
168.jpg,73.84981,18.52578
169.jpg,73.84981,18.52578
17.jpg,73.84201,18.52265
170.jpg,73.84981,18.52578
171.jpg,73.84981,18.52578
172.jpg,73.84981,18.52578
173.jpg,73.84981,18.52578
174.jpg,73.84981,18.52578
175.jpg,73.84981,18.52578
176.jpg,73.84981,18.52578
177.jpg,73.84981,18.52578
178.jpg,73.84981,18.52578
179.jpg,73.84981,18.52578
18.jpg,73.84201,18.52265
180.jpg,73.84981,18.52578
181.jpg,73.84981,18.52578
182.jpg,73.84981,18.52578
183.jpg,73.84981,18.52578
184.jpg,73.84981,18.52578
185.jpg,73.84981,18.52578
186.jpg,73.84981,18.52578
187.jpg,73.84981,18.52578
188.jpg,73.84981,18.52578
189.jpg,73.84,18.52
19.jpg,73.84201,18.52265
190.jpg,73.84,18.52
191.jpg,73.84,18.52
192.jpg,73.84,18.52
193.jpg,73.84,18.52
194.jpg,73.84,18.52
195.jpg,73.84,18.52
196.jpg,73.84,18.52
197.jpg,73.84,18.52
198.jpg,73.84,18.52
199.jpg,73.84,18.52
2.jpg,73.84201,18.52265
20.jpg,73.84201,18.52265
200.jpg,73.84,18.52
201.jpg,73.84,18.52
202.jpg,73.84,18.52
203.jpg,73.84,18.52
204.jpg,73.84,18.52
205.jpg,73.84905,18.52251
206.jpg,73.84905,18.52251
207.jpg,73.84905,18.52251
208.jpg,73.84905,18.52251
209.jpg,73.84905,18.52251
21.jpg,73.84201,18.52265
210.jpg,73.84905,18.52251
211.jpg,73.84905,18.52251
212.jpg,73.84909,18.52263
213.jpg,73.84909,18.52263
214.jpg,73.84909,18.52263
215.jpg,73.84909,18.52263
216.jpg,73.84909,18.52263
217.jpg,73.84909,18.52263
218.jpg,73.84911,18.52259
219.jpg,73.84909,18.52264
22.jpg,73.84201,18.52265
220.jpg,73.84909,18.52258
221.jpg,73.8491,18.52257
222.jpg,73.84909,18.52252
223.jpg,73.84908,18.52253
224.jpg,73.84158,18.51846
225.jpg,73.84158,18.51846
226.jpg,73.84158,18.51846
227.jpg,73.84158,18.51846
228.jpg,73.84158,18.51846
229.jpg,73.84158,18.51846
23.jpg,73.84201,18.52265
230.jpg,73.84158,18.51846
231.jpg,73.84158,18.51846
232.jpg,73.84158,18.51846
233.jpg,73.84158,18.51846
234.jpg,73.84158,18.51846
235.jpg,73.84158,18.51846
236.jpg,73.84158,18.51846
237.jpg,73.84158,18.51846
238.jpg,73.84158,18.51846
239.jpg,73.84158,18.51846
24.jpg,73.84201,18.52265
240.jpg,73.84158,18.51846
241.jpg,73.84158,18.51846
242.jpg,73.84158,18.51846
243.jpg,73.84158,18.51846
244.jpg,73.84158,18.51846
245.jpg,73.84158,18.51846
246.jpg,73.84158,18.51846
247.jpg,73.84158,18.51846
248.jpg,73.84158,18.51846
249.jpg,73.84158,18.51846
25.jpg,73.84201,18.52265
250.jpg,73.84158,18.51846
251.jpg,73.84158,18.51846
252.jpg,73.84158,18.51846
253.jpg,73.84158,18.51846
254.jpg,73.84158,18.51846
255.jpg,73.84158,18.51846
256.jpg,73.84158,18.51846
257.jpg,73.84158,18.51846
258.jpg,73.84158,18.51846
259.jpg,73.84158,18.51846
26.jpg,73.84201,18.52265
260.jpg,73.84158,18.51846
261.jpg,73.84158,18.51846
262.jpg,73.84158,18.51846
263.jpg,73.84158,18.51846
268.jpg,73.84158,18.51846
269.jpg,73.84158,18.51846
27.jpg,73.84201,18.52265
270.jpg,73.84158,18.51846
271.jpg,73.84158,18.51846
272.jpg,73.84158,18.51846
273.jpg,73.84158,18.51846
274.jpg,73.84158,18.51846
275.jpg,73.84158,18.51846
276.jpg,73.84158,18.51846
277.jpg,73.84158,18.51846
278.jpg,73.84158,18.51846
279.jpg,73.84158,18.51846
28.jpg,73.84201,18.52265
280.jpg,73.84158,18.51846
281.jpg,73.84158,18.51846
282.jpg,73.84158,18.51846
283.jpg,73.84158,18.51846
284.jpg,73.84158,18.51846
285.jpg,73.84158,18.51846
286.jpg,73.84158,18.51846
287.jpg,73.84158,18.51846
288.jpg,73.84158,18.51846
289.jpg,73.84158,18.51846
29.jpg,73.84201,18.52265
290.jpg,73.84158,18.51846
291.jpg,73.84158,18.51846
292.jpg,73.84158,18.51846
293.jpg,73.84158,18.51846
294.jpg,73.84158,18.51846
295.jpg,73.84158,18.51846
296.jpg,73.84747,18.52306
297.jpg,73.84747,18.52306
298.jpg,73.84747,18.52306
299.jpg,73.84747,18.52306
3.jpg,73.84201,18.52265
30.jpg,73.84201,18.52265
300.jpg,73.84747,18.52306
301.jpg,73.84747,18.52306
302.jpg,73.84747,18.52306
303.jpg,73.84747,18.52306
304.jpg,73.84747,18.52306
305.jpg,73.84747,18.52306
306.jpg,73.84747,18.52306
307.jpg,73.84747,18.52306
308.jpg,73.84747,18.52306
309.jpg,73.84747,18.52306
31.jpg,73.84201,18.52265
310.jpg,73.84747,18.52306
311.jpg,73.84747,18.52306
312.jpg,73.84747,18.52306
313.jpg,73.84747,18.52306
314.jpg,73.84747,18.52306
315.jpg,73.84747,18.52306
316.jpg,73.84747,18.52306
317.jpg,73.84747,18.52306
318.jpg,73.84747,18.52306
319.jpg,73.84747,18.52306
32.jpg,73.84201,18.52265
320.jpg,73.84747,18.52306
321.jpg,73.84747,18.52306
322.jpg,73.84747,18.52306
323.jpg,73.84747,18.52306
324.jpg,73.84747,18.52306
325.jpg,73.84747,18.52306
326.jpg,73.84747,18.52306
327.jpg,73.84747,18.52306
328.jpg,73.84747,18.52306
329.jpg,73.84747,18.52306
33.jpg,73.84201,18.52265
330.jpg,73.84747,18.52306
331.jpg,73.84747,18.52306
332.jpg,73.84747,18.52306
333.jpg,73.84747,18.52306
334.jpg,73.84747,18.52306
335.jpg,73.84747,18.52306
336.jpg,73.84747,18.52306
337.jpg,73.84747,18.52306
338.jpg,73.84747,18.52306
339.jpg,73.84747,18.52306
34.jpg,73.84201,18.52265
340.jpg,73.84747,18.52306
341.jpg,73.84747,18.52306
342.jpg,73.84747,18.52306
343.jpg,73.84747,18.52306
344.jpg,73.84747,18.52306
345.jpg,73.84747,18.52306
346.jpg,73.84747,18.52306
347.jpg,73.84747,18.52306
348.jpg,73.84747,18.52306
349.jpg,73.84747,18.52306
35.jpg,73.84201,18.52265
350.jpg,73.84747,18.52306
351.jpg,73.84747,18.52306
352.jpg,73.84747,18.52306
353.jpg,73.84747,18.52306
354.jpg,73.84747,18.52306
355.jpg,73.84747,18.52306
356.jpg,73.84747,18.52306
357.jpg,73.84747,18.52306
358.jpg,73.84747,18.52306
359.jpg,73.84747,18.52306
36.jpg,73.84201,18.52265
360.jpg,73.84747,18.52306
361.jpg,73.84747,18.52306
362.jpg,73.84747,18.52306
363.jpg,73.84747,18.52306
364.jpg,73.84747,18.52306
